env,baseline,seed,step,avg_return,std_return
LunarLander-v3,avg,1,90000,69.63633955482324,73.58547199598952
LunarLander-v3,avg,1,100000,-187.4263993864543,24.42249427463687
LunarLander-v3,avg,1,110000,-202.5772373545389,37.86764003903978
LunarLander-v3,avg,1,120000,-137.44271663634126,28.17124955992315
LunarLander-v3,avg,1,130000,-125.79940249757183,44.94995017824027
LunarLander-v3,avg,1,140000,-138.1390023601137,23.93181692412536
LunarLander-v3,avg,1,150000,-124.79845216533877,39.62055297560822
LunarLander-v3,avg,1,160000,-73.06841574788164,32.001422084190956
LunarLander-v3,avg,1,170000,-62.60681088190885,19.012603843777434
LunarLander-v3,avg,1,180000,-101.49458871352286,21.79650801561586
LunarLander-v3,avg,1,190000,-91.70016877966142,16.101461140226963
LunarLander-v3,avg,1,200000,-68.73825313165499,39.71931410983091
LunarLander-v3,avg,2,10000,-135.3460956812758,22.19604503762625
LunarLander-v3,avg,2,20000,-378.58859331791166,75.19454770421092
LunarLander-v3,avg,2,30000,-521.4738465977604,114.58186828641131
LunarLander-v3,avg,2,40000,-891.8621312932216,227.36901640914695
LunarLander-v3,avg,2,50000,-222.03876701442852,25.178324164621134
LunarLander-v3,avg,2,60000,-148.54930765905095,11.963457032802284
LunarLander-v3,avg,2,70000,-197.71852911470364,21.37332311462334
LunarLander-v3,avg,2,80000,-174.683852410066,24.691541769941296
LunarLander-v3,avg,2,90000,-125.68470037896218,22.9912670976505
LunarLander-v3,avg,2,100000,-134.75920226009754,16.318998780118118
LunarLander-v3,avg,2,110000,-107.73662540701578,17.42163374937923
LunarLander-v3,avg,2,120000,-82.94450253794732,25.895492222581392
LunarLander-v3,avg,2,130000,-123.40815823210585,10.133605360792574
LunarLander-v3,avg,2,140000,-143.24799354203395,17.90505651291214
LunarLander-v3,avg,2,150000,-151.60414020463472,23.71426227294555
LunarLander-v3,avg,2,160000,-130.65969635300317,17.89770286529862
LunarLander-v3,avg,2,170000,-91.88191683688675,10.59715644030523
LunarLander-v3,avg,2,180000,-79.43369860032938,26.361472192790373
LunarLander-v3,avg,2,190000,-80.34317775775264,20.05127937859221
LunarLander-v3,avg,2,200000,-75.4173405443321,10.0062467316867
LunarLander-v3,value,0,10000,-563.2923495803486,230.98073942158024
LunarLander-v3,value,0,20000,-1039.7940141822069,589.9499769671648
LunarLander-v3,value,0,30000,-306.2171070063481,35.03771705842384
LunarLander-v3,value,0,40000,-490.5603306553984,20.941096350601185
LunarLander-v3,value,0,50000,-164.2339619991995,11.311363710772037
LunarLander-v3,value,0,60000,-191.9867460823716,55.45058329868575
LunarLander-v3,value,0,70000,-153.74832008788468,13.230254768095609
LunarLander-v3,value,0,80000,-127.69180225593225,16.102060640201827
LunarLander-v3,value,0,90000,-73.84920219497397,15.395182659933223
LunarLander-v3,value,0,100000,-77.48251400525939,15.381442516524004
LunarLander-v3,value,0,110000,-198.1357768468735,22.447048586061342
LunarLander-v3,value,0,120000,-174.28885815462033,10.95302315667154
LunarLander-v3,value,0,130000,-127.57801355215085,25.620059946150484
LunarLander-v3,value,0,140000,-155.47638580920835,28.17767362276572
LunarLander-v3,value,0,150000,-129.80669728128595,35.40177791908419
LunarLander-v3,value,0,160000,-72.55676838533216,12.98665005334104
LunarLander-v3,value,0,170000,-119.2305383175736,15.777434756023736
LunarLander-v3,value,0,180000,-121.16602276757706,22.562133060407238
LunarLander-v3,value,0,190000,-108.41945039312604,18.74679942588715
LunarLander-v3,value,0,200000,-49.14143588370876,17.265504204764014
LunarLander-v3,value,1,10000,-352.6714374332679,42.91429850286115
LunarLander-v3,value,1,20000,-557.2066206897932,41.57691288266431
LunarLander-v3,value,1,30000,-350.9598638417157,44.39059911501386
LunarLander-v3,value,1,40000,-466.5355807299494,53.492459322883406
LunarLander-v3,value,1,50000,-244.34637795539766,46.7537685303057
LunarLander-v3,value,1,60000,-439.4410949033302,51.455805199868905
LunarLander-v3,value,1,70000,-262.904348435097,37.80898268541733
LunarLander-v3,value,1,80000,-209.67619015508723,53.042236389796976
LunarLander-v3,value,1,90000,-225.30711670227396,18.872255846060636
LunarLander-v3,value,1,100000,-124.4145950501296,20.82430596166789
LunarLander-v3,value,1,110000,-194.28346107741936,25.878405015030754
LunarLander-v3,value,1,120000,-287.34755603501213,23.92650547875651
LunarLander-v3,value,1,130000,-142.81866132149042,24.534045766448823
LunarLander-v3,value,1,140000,-139.06506875828777,22.167157531384635
LunarLander-v3,value,1,150000,-119.02932135255976,9.303386887934854
LunarLander-v3,value,1,160000,-169.92680957011154,23.23555806904426
LunarLander-v3,value,1,170000,-155.35507855625806,13.960310798691825
LunarLander-v3,value,1,180000,-108.24164115316285,20.61181665164599
LunarLander-v3,value,1,190000,-119.95771583566584,16.003989425010975
LunarLander-v3,value,1,200000,-88.63361564114587,20.245695486029778
LunarLander-v3,value,2,10000,-904.0979933320143,454.74214144843853
LunarLander-v3,value,2,20000,-540.9682718372994,47.04223278889596
LunarLander-v3,value,2,30000,-475.461428069411,45.84801676441395
LunarLander-v3,value,2,40000,-325.54617565354454,61.37336852339409
LunarLander-v3,value,2,50000,-181.6168623461508,24.752170548143912
LunarLander-v3,value,2,60000,-360.7844141844509,13.61920353374782
LunarLander-v3,value,2,70000,-503.4737622163282,44.64292079921105
